66.249.64.167 bot - "2014-06-12 12:23:03" http://edicions.uib.cat/ojs/index.php/enginy/article/download/49/31 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
193.111.141.54 - - "2014-06-12 12:30:49" http://enginy.uib.es/index.php/enginy/article/view/52 200 "Mozilla/5.0 (Windows NT 6.1; de;rv:12.0) Gecko/20120403211507 Firefox/12.0"
66.249.69.169 bot - "2014-06-12 12:36:45" http://enginy.uib.es/index.php/enginy/article/view/143 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.69.201 bot - "2014-06-12 12:38:35" http://enginy.uib.es/index.php/enginy/article/view/56 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
69.171.247.116 - - "2014-06-12 13:25:04" http://edicions.uib.es/ojs/index.php/enginy/article/download/48/30 200 "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
185.13.202.208 - - "2014-06-12 13:46:28" http://enginy.uib.es/index.php/enginy/article/download/64/47 200 "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Win64; x64; Trident/5.0)"
66.249.69.201 bot - "2014-06-12 13:51:22" http://enginy.uib.es/index.php/enginy/article/view/151 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
157.55.39.151 bot - "2014-06-12 13:56:40" http://enginy.uib.es/index.php/Materialidades/issue/view/40 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
179.101.77.236 bot - "2014-06-12 14:13:19" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
181.53.13.142 - - "2014-06-12 14:27:58" http://edicions.uib.es/ojs/index.php/enginy/article/download/48/30 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
66.249.64.162 bot - "2014-06-12 14:36:10" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/134/108 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
